screen,member_id,arm,unit,is_priored,value,threshold,slack,flagged,note
upper-bound,34,include,group 19,0,0.489064,0.99,0.500936,0,
upper-bound,34,include,group 20,0,0.11678,0.99,0.87322,0,
upper-bound,34,include,group 23,0,0.99,0.99,1.44839e-09,1,at upper bound
upper-bound,34,include,group 29,0,0.137616,0.99,0.852384,0,
upper-bound,35,include,group 1,0,0.223862,0.99,0.766138,0,
upper-bound,35,include,group 6,0,0.348218,0.99,0.641782,0,
upper-bound,35,include,group 7,1,0.525777,0.99,0.464223,0,
upper-bound,35,include,group 10,1,0.560294,0.99,0.429706,0,
upper-bound,35,include,group 13,0,0.453236,0.99,0.536764,0,
upper-bound,35,include,group 14,1,0.497104,0.99,0.492896,0,
upper-bound,35,include,group 17,1,0.742311,0.99,0.247689,0,
upper-bound,35,include,group 18,1,0.804076,0.99,0.185924,0,
upper-bound,35,include,group 19,0,0.519639,0.99,0.470361,0,
upper-bound,35,include,group 20,0,0.132198,0.99,0.857802,0,
upper-bound,35,include,group 23,0,0.99,0.99,2.57096e-09,1,at upper bound
upper-bound,35,include,group 29,0,0.130299,0.99,0.859701,0,
upper-bound,36,exclude,group 1,0,0.244323,0.99,0.745677,0,
upper-bound,36,exclude,group 6,0,0.676186,0.99,0.313814,0,
upper-bound,36,exclude,group 7,1,0.675289,0.99,0.314711,0,
upper-bound,36,exclude,group 10,1,0.582385,0.99,0.407615,0,
upper-bound,36,exclude,group 13,0,0.548241,0.99,0.441759,0,
upper-bound,36,exclude,group 14,1,0.499501,0.99,0.490499,0,
upper-bound,36,exclude,group 17,1,0.766941,0.99,0.223059,0,
upper-bound,36,exclude,group 18,1,0.882953,0.99,0.107047,0,
upper-bound,36,exclude,group 19,0,0.99,0.99,1.52996e-08,1,at upper bound
upper-bound,36,exclude,group 20,0,0.165392,0.99,0.824608,0,
upper-bound,36,exclude,group 23,0,0.99,0.99,1.40751e-09,1,at upper bound
upper-bound,36,exclude,group 29,0,0.189907,0.99,0.800093,0,
upper-bound,38,exclude,group 1,0,0.211655,0.99,0.778345,0,
upper-bound,38,exclude,group 6,0,0.564016,0.99,0.425984,0,
upper-bound,38,exclude,group 7,1,0.656011,0.99,0.333989,0,
upper-bound,38,exclude,group 10,1,0.562823,0.99,0.427177,0,
upper-bound,38,exclude,group 13,0,0.45342,0.99,0.53658,0,
upper-bound,38,exclude,group 14,1,0.501703,0.99,0.488297,0,
upper-bound,38,exclude,group 17,1,0.706613,0.99,0.283387,0,
upper-bound,38,exclude,group 18,1,0.814208,0.99,0.175792,0,
upper-bound,38,exclude,group 19,0,0.473269,0.99,0.516731,0,
upper-bound,38,exclude,group 20,0,0.120184,0.99,0.869816,0,
upper-bound,38,exclude,group 23,0,0.99,0.99,1.44302e-09,1,at upper bound
upper-bound,38,exclude,group 29,0,0.15285,0.99,0.83715,0,
upper-bound,39,exclude,group 1,0,0.22691,0.99,0.76309,0,
upper-bound,39,exclude,group 6,0,0.641568,0.99,0.348432,0,
upper-bound,39,exclude,group 7,1,0.674444,0.99,0.315556,0,
upper-bound,39,exclude,group 10,1,0.57696,0.99,0.41304,0,
