member_id,arm,K,group_id,n_in_window,n_recaptured,psi
74,include,0.2,18,1264.0,3117.0,0.4055181264035932
74,include,0.2,14,5.0,6.0,0.8333333333333334
74,include,0.2,13,116.0,129.0,0.8992248062015504
74,include,0.2,16,0.0,0.0,
74,include,0.2,23,285.0,372.0,0.7661290322580645
74,include,0.2,19,5.0,59.0,0.0847457627118644
74,include,0.2,20,0.0,10.0,0.0
74,include,0.2,29,18.0,18.0,1.0
75,exclude,0.15,7,320.0,322.0,0.9937888198757764
75,exclude,0.15,10,212.0,298.0,0.7114093959731543
75,exclude,0.15,6,46.0,47.0,0.9787234042553191
75,exclude,0.15,1,189.0,414.0,0.45652173913043476
75,exclude,0.15,11,0.0,0.0,
75,exclude,0.15,2,0.0,0.0,
75,exclude,0.15,17,1944.0,3467.0,0.5607153158350159
75,exclude,0.15,18,1693.0,3117.0,0.5431504651908887
75,exclude,0.15,14,5.0,6.0,0.8333333333333334
75,exclude,0.15,13,120.0,129.0,0.9302325581395349
75,exclude,0.15,16,0.0,0.0,
75,exclude,0.15,23,327.0,372.0,0.8790322580645161
75,exclude,0.15,19,16.0,59.0,0.2711864406779661
75,exclude,0.15,20,0.0,10.0,0.0
75,exclude,0.15,29,18.0,18.0,1.0
76,exclude,0.2,7,320.0,322.0,0.9937888198757764
76,exclude,0.2,10,175.0,298.0,0.587248322147651
